Spirit,Stage,Aspect(s),Learn Level,Move,Move Aspect,Category,Power,Effect,Source,Animation,Animation Source
Blizzlash,Final B,Ice/Dark,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Bloopuff,Base,Normal,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Bloopuff,Base,Normal,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Bloopuff,Base,Normal,5,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Bloopuff,Base,Normal,9,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Bloopuff,Base,Normal,13,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Floofin,Stage 2,Normal,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloopuff,Yellow stars fly,original
Floofin,Stage 2,Normal,1,Slash Strike,Normal,Phys,50,—,inherited from Bloopuff,Slash lines,original
Floofin,Stage 2,Normal,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Bloopuff,Spinning blades around user,original
Floofin,Stage 2,Normal,9,Coin Toss,Normal,Phys,40,—,inherited from Bloopuff,Coins scatter,original
Floofin,Stage 2,Normal,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Bloopuff,Afterimage flicker,original
Floofin,Stage 2,Normal,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Floofin,Stage 2,Normal,21,Power Jab,Normal,Phys,80,—,own,Generic hit flash,original
Floofin,Stage 2,Normal,25,Warm Recovery,Normal,Status,0,Heals user,own,Green sparkle overlay,original
Nimbuspry,Final A,Ice/Fairy,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloopuff,Yellow stars fly,original
Nimbuspry,Final A,Ice/Fairy,1,Slash Strike,Normal,Phys,50,—,inherited from Bloopuff,Slash lines,original
Nimbuspry,Final A,Ice/Fairy,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Bloopuff,Spinning blades around user,original
Nimbuspry,Final A,Ice/Fairy,9,Coin Toss,Normal,Phys,40,—,inherited from Bloopuff,Coins scatter,original
Nimbuspry,Final A,Ice/Fairy,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Bloopuff,Afterimage flicker,original
Nimbuspry,Final A,Ice/Fairy,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Floofin,Generic hit flash,original
Nimbuspry,Final A,Ice/Fairy,21,Power Jab,Normal,Phys,80,—,inherited from Floofin,Generic hit flash,original
Nimbuspry,Final A,Ice/Fairy,25,Warm Recovery,Normal,Status,0,Heals user,inherited from Floofin,Green sparkle overlay,original
Nimbuspry,Final A,Ice/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Nimbuspry,Final A,Ice/Fairy,34,Decoy Form,Normal,Status,0 (costs 25% HP),Creates substitute,own,Decoy doll appears,original
Nimbuspry,Final A,Ice/Fairy,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Stormuff,Final B,Electric/Dark,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Bloopuff,Yellow stars fly,original
Stormuff,Final B,Electric/Dark,1,Slash Strike,Normal,Phys,50,—,inherited from Bloopuff,Slash lines,original
Stormuff,Final B,Electric/Dark,5,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Bloopuff,Spinning blades around user,original
Stormuff,Final B,Electric/Dark,9,Coin Toss,Normal,Phys,40,—,inherited from Bloopuff,Coins scatter,original
Stormuff,Final B,Electric/Dark,13,Afterimage,Normal,Status,0,Raises evasion,inherited from Bloopuff,Afterimage flicker,original
Stormuff,Final B,Electric/Dark,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Floofin,Generic hit flash,original
Stormuff,Final B,Electric/Dark,21,Power Jab,Normal,Phys,80,—,inherited from Floofin,Generic hit flash,original
Stormuff,Final B,Electric/Dark,25,Warm Recovery,Normal,Status,0,Heals user,inherited from Floofin,Green sparkle overlay,original
Stormuff,Final B,Electric/Dark,30,Umbral Rend,Dark,Phys,95,—,own,Dark swirl/drain,reuses: Nightmare Feast
Stormuff,Final B,Electric/Dark,34,Decoy Form,Normal,Status,0 (costs 25% HP),Creates substitute,own,Decoy doll appears,original
Stormuff,Final B,Electric/Dark,38,Volt Strike,Electric,Spec,95,Paralysis (10%),own,Lightning strike,original
Mosscoil,Base,Grass,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Mosscoil,Base,Grass,1,Life Siphon,Grass,Spec,40,Heals user,own,"Green beam, drains HP",original
Mosscoil,Base,Grass,5,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Mosscoil,Base,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,own,Slash lines,reuses: Slash Strike
Mosscoil,Base,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,own,Green sparkle overlay,reuses: Warm Recovery
Grovesnail,Stage 2,Grass,1,Slash Strike,Normal,Phys,50,—,inherited from Mosscoil,Slash lines,original
Grovesnail,Stage 2,Grass,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Mosscoil,"Green beam, drains HP",original
Grovesnail,Stage 2,Grass,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Mosscoil,Yellow stars fly,original
Grovesnail,Stage 2,Grass,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Mosscoil,Slash lines,reuses: Slash Strike
Grovesnail,Stage 2,Grass,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Mosscoil,Green sparkle overlay,reuses: Warm Recovery
Grovesnail,Stage 2,Grass,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Grovesnail,Stage 2,Grass,21,Bramble Rend,Grass,Spec,80,—,own,"Charge, then blade slash",reuses: Wind Slicer
Grovesnail,Stage 2,Grass,25,Root Bind,Grass,Status,0,Sharply lowers Speed,own,"Green beam, drains HP",reuses: Life Siphon
Lotushell,Final A,Grass/Water,1,Slash Strike,Normal,Phys,50,—,inherited from Mosscoil,Slash lines,original
Lotushell,Final A,Grass/Water,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Mosscoil,"Green beam, drains HP",original
Lotushell,Final A,Grass/Water,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Mosscoil,Yellow stars fly,original
Lotushell,Final A,Grass/Water,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Mosscoil,Slash lines,reuses: Slash Strike
Lotushell,Final A,Grass/Water,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Mosscoil,Green sparkle overlay,reuses: Warm Recovery
Lotushell,Final A,Grass/Water,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Grovesnail,Generic hit flash,original
Lotushell,Final A,Grass/Water,21,Bramble Rend,Grass,Spec,80,—,inherited from Grovesnail,"Charge, then blade slash",reuses: Wind Slicer
Lotushell,Final A,Grass/Water,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Grovesnail,"Green beam, drains HP",reuses: Life Siphon
Lotushell,Final A,Grass/Water,30,Tidal Wave,Water,Spec,95,—,own,Large wave washes over,original
Lotushell,Final A,Grass/Water,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Lotushell,Final A,Grass/Water,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Ruincoil,Final B,Grass/Rock,1,Slash Strike,Normal,Phys,50,—,inherited from Mosscoil,Slash lines,original
Ruincoil,Final B,Grass/Rock,1,Life Siphon,Grass,Spec,40,Heals user,inherited from Mosscoil,"Green beam, drains HP",original
Ruincoil,Final B,Grass/Rock,5,Star Shower,Normal,Phys,60,None (never misses),inherited from Mosscoil,Yellow stars fly,original
Ruincoil,Final B,Grass/Rock,9,Leaf Cutter,Grass,Spec,55,High crit rate,inherited from Mosscoil,Slash lines,reuses: Slash Strike
Ruincoil,Final B,Grass/Rock,13,Spore Cloud,Grass,Status,0,Puts target to sleep,inherited from Mosscoil,Green sparkle overlay,reuses: Warm Recovery
Ruincoil,Final B,Grass/Rock,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Grovesnail,Generic hit flash,original
Ruincoil,Final B,Grass/Rock,21,Bramble Rend,Grass,Spec,80,—,inherited from Grovesnail,"Charge, then blade slash",reuses: Wind Slicer
Ruincoil,Final B,Grass/Rock,25,Root Bind,Grass,Status,0,Sharply lowers Speed,inherited from Grovesnail,"Green beam, drains HP",reuses: Life Siphon
Ruincoil,Final B,Grass/Rock,30,Boulder Fall,Rock,Phys,75,—,own,Rocks fall from top,original
Ruincoil,Final B,Grass/Rock,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Ruincoil,Final B,Grass/Rock,38,Sunray Blast,Grass,Spec,120,None (2-turn),own,"Charge glow, then beam",original
Wickisp,Base,Ghost,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Wickisp,Base,Ghost,1,Spectral Touch,Ghost,Phys,45,20% flinch,own,Vanish in sparkle,reuses: Phase Shift
Wickisp,Base,Ghost,5,Haunt Whisper,Ghost,Status,0,Sharply lowers Attack,own,Wavy purple pulse,reuses: Mind Pulse
Wickisp,Base,Ghost,9,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Wickisp,Base,Ghost,13,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Candlurk,Stage 2,Fire/Ghost,1,Coin Toss,Normal,Phys,40,—,inherited from Wickisp,Coins scatter,original
Candlurk,Stage 2,Fire/Ghost,1,Spectral Touch,Ghost,Phys,45,20% flinch,inherited from Wickisp,Vanish in sparkle,reuses: Phase Shift
Candlurk,Stage 2,Fire/Ghost,5,Haunt Whisper,Ghost,Status,0,Sharply lowers Attack,inherited from Wickisp,Wavy purple pulse,reuses: Mind Pulse
Candlurk,Stage 2,Fire/Ghost,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Wickisp,Yellow stars fly,original
Candlurk,Stage 2,Fire/Ghost,13,Slash Strike,Normal,Phys,50,—,inherited from Wickisp,Slash lines,original
Candlurk,Stage 2,Fire/Ghost,17,Phantom Rend,Ghost,Phys,80,—,own,Dark swirl/drain,reuses: Nightmare Feast
Candlurk,Stage 2,Fire/Ghost,21,Blaze Fang,Fire,Spec,80,10% burn,own,"Fang chomp, flinch back",reuses: Fang Snap
Candlurk,Stage 2,Fire/Ghost,25,Cinder Veil,Fire,Status,0,Raises Special,own,Sparkle overlay,reuses: Mirror Act
Halolume,Final A,Fire/Fairy,1,Coin Toss,Normal,Phys,40,—,inherited from Wickisp,Coins scatter,original
Halolume,Final A,Fire/Fairy,1,Spectral Touch,Ghost,Phys,45,20% flinch,inherited from Wickisp,Vanish in sparkle,reuses: Phase Shift
Halolume,Final A,Fire/Fairy,5,Haunt Whisper,Ghost,Status,0,Sharply lowers Attack,inherited from Wickisp,Wavy purple pulse,reuses: Mind Pulse
Halolume,Final A,Fire/Fairy,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Wickisp,Yellow stars fly,original
Halolume,Final A,Fire/Fairy,13,Slash Strike,Normal,Phys,50,—,inherited from Wickisp,Slash lines,original
Halolume,Final A,Fire/Fairy,17,Phantom Rend,Ghost,Phys,80,—,inherited from Candlurk,Dark swirl/drain,reuses: Nightmare Feast
Halolume,Final A,Fire/Fairy,21,Blaze Fang,Fire,Spec,80,10% burn,inherited from Candlurk,"Fang chomp, flinch back",reuses: Fang Snap
Halolume,Final A,Fire/Fairy,25,Cinder Veil,Fire,Status,0,Raises Special,inherited from Candlurk,Sparkle overlay,reuses: Mirror Act
Halolume,Final A,Fire/Fairy,30,Lunar Burst,Fairy,Spec,95,Lowers Sp. Atk (30%),own,Pink lunar orb bursts,original
Halolume,Final A,Fire/Fairy,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Halolume,Final A,Fire/Fairy,38,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Hexabra,Final B,Fire/Ghost,1,Coin Toss,Normal,Phys,40,—,inherited from Wickisp,Coins scatter,original
Hexabra,Final B,Fire/Ghost,1,Spectral Touch,Ghost,Phys,45,20% flinch,inherited from Wickisp,Vanish in sparkle,reuses: Phase Shift
Hexabra,Final B,Fire/Ghost,5,Haunt Whisper,Ghost,Status,0,Sharply lowers Attack,inherited from Wickisp,Wavy purple pulse,reuses: Mind Pulse
Hexabra,Final B,Fire/Ghost,9,Star Shower,Normal,Phys,60,None (never misses),inherited from Wickisp,Yellow stars fly,original
Hexabra,Final B,Fire/Ghost,13,Slash Strike,Normal,Phys,50,—,inherited from Wickisp,Slash lines,original
Hexabra,Final B,Fire/Ghost,17,Phantom Rend,Ghost,Phys,80,—,inherited from Candlurk,Dark swirl/drain,reuses: Nightmare Feast
Hexabra,Final B,Fire/Ghost,21,Blaze Fang,Fire,Spec,80,10% burn,inherited from Candlurk,"Fang chomp, flinch back",reuses: Fang Snap
Hexabra,Final B,Fire/Ghost,25,Cinder Veil,Fire,Status,0,Raises Special,inherited from Candlurk,Sparkle overlay,reuses: Mirror Act
Hexabra,Final B,Fire/Ghost,30,Soul Rend,Ghost,Phys,95,Heals user by half damage,own,Dark swirl/drain,reuses: Nightmare Feast
Hexabra,Final B,Fire/Ghost,34,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Hexabra,Final B,Fire/Ghost,38,Inferno Burst,Fire,Spec,110,Burn (10%),own,Large flame burst,original
Terratot,Base,Ground,1,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Terratot,Base,Ground,1,Sand Lash,Ground,Phys,45,—,own,"Screen shake, tremors",reuses: Ground Rupture
Terratot,Base,Ground,5,Mud Veil,Ground,Status,0,Lowers target accuracy,own,Screen flash,reuses: Blinding Light
Terratot,Base,Ground,9,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Terratot,Base,Ground,13,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Burrosaur,Stage 2,Ground,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Terratot,Yellow stars fly,original
Burrosaur,Stage 2,Ground,1,Sand Lash,Ground,Phys,45,—,inherited from Terratot,"Screen shake, tremors",reuses: Ground Rupture
Burrosaur,Stage 2,Ground,5,Mud Veil,Ground,Status,0,Lowers target accuracy,inherited from Terratot,Screen flash,reuses: Blinding Light
Burrosaur,Stage 2,Ground,9,Slash Strike,Normal,Phys,50,—,inherited from Terratot,Slash lines,original
Burrosaur,Stage 2,Ground,13,Coin Toss,Normal,Phys,40,—,inherited from Terratot,Coins scatter,original
Burrosaur,Stage 2,Ground,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Burrosaur,Stage 2,Ground,21,Power Jab,Normal,Phys,80,—,own,Generic hit flash,original
Burrosaur,Stage 2,Ground,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Ferradillo,Final A,Ground/Steel,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Terratot,Yellow stars fly,original
Ferradillo,Final A,Ground/Steel,1,Sand Lash,Ground,Phys,45,—,inherited from Terratot,"Screen shake, tremors",reuses: Ground Rupture
Ferradillo,Final A,Ground/Steel,5,Mud Veil,Ground,Status,0,Lowers target accuracy,inherited from Terratot,Screen flash,reuses: Blinding Light
Ferradillo,Final A,Ground/Steel,9,Slash Strike,Normal,Phys,50,—,inherited from Terratot,Slash lines,original
Ferradillo,Final A,Ground/Steel,13,Coin Toss,Normal,Phys,40,—,inherited from Terratot,Coins scatter,original
Ferradillo,Final A,Ground/Steel,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Burrosaur,Generic hit flash,original
Ferradillo,Final A,Ground/Steel,21,Power Jab,Normal,Phys,80,—,inherited from Burrosaur,Generic hit flash,original
Ferradillo,Final A,Ground/Steel,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Burrosaur,Spinning blades around user,original
Ferradillo,Final A,Ground/Steel,30,Forge Strike,Steel,Phys,100,—,own,"Charge, then blade slash",reuses: Wind Slicer
Ferradillo,Final A,Ground/Steel,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Ferradillo,Final A,Ground/Steel,38,Ground Rupture,Ground,Phys,100,—,own,"Screen shake, tremors",original
Rumblejaw,Final B,Ground/Fighting,1,Star Shower,Normal,Phys,60,None (never misses),inherited from Terratot,Yellow stars fly,original
Rumblejaw,Final B,Ground/Fighting,1,Sand Lash,Ground,Phys,45,—,inherited from Terratot,"Screen shake, tremors",reuses: Ground Rupture
Rumblejaw,Final B,Ground/Fighting,5,Mud Veil,Ground,Status,0,Lowers target accuracy,inherited from Terratot,Screen flash,reuses: Blinding Light
Rumblejaw,Final B,Ground/Fighting,9,Slash Strike,Normal,Phys,50,—,inherited from Terratot,Slash lines,original
Rumblejaw,Final B,Ground/Fighting,13,Coin Toss,Normal,Phys,40,—,inherited from Terratot,Coins scatter,original
Rumblejaw,Final B,Ground/Fighting,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Burrosaur,Generic hit flash,original
Rumblejaw,Final B,Ground/Fighting,21,Power Jab,Normal,Phys,80,—,inherited from Burrosaur,Generic hit flash,original
Rumblejaw,Final B,Ground/Fighting,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Burrosaur,Spinning blades around user,original
Rumblejaw,Final B,Ground/Fighting,30,Grapple Slam,Fighting,Phys,80,Recoil to self,own,Hit flash + recoil,original
Rumblejaw,Final B,Ground/Fighting,34,Afterimage,Normal,Status,0,Raises evasion,own,Afterimage flicker,original
Rumblejaw,Final B,Ground/Fighting,38,Ground Rupture,Ground,Phys,100,—,own,"Screen shake, tremors",original
Hootusk,Base,Flying,1,Slash Strike,Normal,Phys,50,—,own,Slash lines,original
Hootusk,Base,Flying,1,Coin Toss,Normal,Phys,40,—,own,Coins scatter,original
Hootusk,Base,Flying,5,Updraft,Flying,Status,0,Raises Speed,own,Afterimage flicker,reuses: Afterimage
Hootusk,Base,Flying,9,Wing Slice,Flying,Phys,60,—,own,Slash lines,reuses: Slash Strike
Hootusk,Base,Flying,13,Star Shower,Normal,Phys,60,None (never misses),own,Yellow stars fly,original
Hornowl,Stage 2,Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Hootusk,Slash lines,original
Hornowl,Stage 2,Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Hootusk,Coins scatter,original
Hornowl,Stage 2,Flying,5,Updraft,Flying,Status,0,Raises Speed,inherited from Hootusk,Afterimage flicker,reuses: Afterimage
Hornowl,Stage 2,Flying,9,Wing Slice,Flying,Phys,60,—,inherited from Hootusk,Slash lines,reuses: Slash Strike
Hornowl,Stage 2,Flying,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Hootusk,Yellow stars fly,original
Hornowl,Stage 2,Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),own,Generic hit flash,original
Hornowl,Stage 2,Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),own,"Flies off, then dives",original
Hornowl,Stage 2,Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),own,Spinning blades around user,original
Glacivane,Final A,Ice/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Hootusk,Slash lines,original
Glacivane,Final A,Ice/Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Hootusk,Coins scatter,original
Glacivane,Final A,Ice/Flying,5,Updraft,Flying,Status,0,Raises Speed,inherited from Hootusk,Afterimage flicker,reuses: Afterimage
Glacivane,Final A,Ice/Flying,9,Wing Slice,Flying,Phys,60,—,inherited from Hootusk,Slash lines,reuses: Slash Strike
Glacivane,Final A,Ice/Flying,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Hootusk,Yellow stars fly,original
Glacivane,Final A,Ice/Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Hornowl,Generic hit flash,original
Glacivane,Final A,Ice/Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Hornowl,"Flies off, then dives",original
Glacivane,Final A,Ice/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Hornowl,Spinning blades around user,original
Glacivane,Final A,Ice/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Glacivane,Final A,Ice/Flying,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Glacivane,Final A,Ice/Flying,38,Frost Ray,Ice,Spec,95,Freeze (10%),own,Beam + freeze sparkle,original
Oracowl,Final B,Psychic/Flying,1,Slash Strike,Normal,Phys,50,—,inherited from Hootusk,Slash lines,original
Oracowl,Final B,Psychic/Flying,1,Coin Toss,Normal,Phys,40,—,inherited from Hootusk,Coins scatter,original
Oracowl,Final B,Psychic/Flying,5,Updraft,Flying,Status,0,Raises Speed,inherited from Hootusk,Afterimage flicker,reuses: Afterimage
Oracowl,Final B,Psychic/Flying,9,Wing Slice,Flying,Phys,60,—,inherited from Hootusk,Slash lines,reuses: Slash Strike
Oracowl,Final B,Psychic/Flying,13,Star Shower,Normal,Phys,60,None (never misses),inherited from Hootusk,Yellow stars fly,original
Oracowl,Final B,Psychic/Flying,17,Full Body Crash,Normal,Phys,85,Paralysis (30%),inherited from Hornowl,Generic hit flash,original
Oracowl,Final B,Psychic/Flying,21,Skyward Dive,Flying,Phys,70,None (2-turn),inherited from Hornowl,"Flies off, then dives",original
Oracowl,Final B,Psychic/Flying,25,Blade Ritual,Normal,Status,0,Raises Attack (self),inherited from Hornowl,Spinning blades around user,original
Oracowl,Final B,Psychic/Flying,30,Dive Bomb,Flying,Phys,140,None (2-turn),own,"Charge, then diving hit",original
Oracowl,Final B,Psychic/Flying,34,Crushing Kick,Normal,Phys,120,—,own,Generic hit flash,original
Oracowl,Final B,Psychic/Flying,38,Mind Crush,Psychic,Spec,90,Lowers Sp. (10%),own,Wavy purple distortion,original
